epoch,train_loss,val_loss
1,613.37262,609.28290
2,502.02807,590.39486
3,471.69234,564.80659
4,448.05891,566.85399
5,431.66908,556.33379
6,419.86859,543.09651
7,405.80704,556.47670
8,394.82693,561.27864
9,384.02489,547.56877
10,378.39208,544.57082
11,462.80585,533.34611
12,415.45305,543.65777
13,394.67794,503.26434
14,381.23156,494.55294
15,366.06729,478.88523
16,363.00870,486.45425
17,349.73943,465.67704
18,342.08531,458.62743
19,340.15371,462.92710
20,330.60599,468.71433
21,326.67586,465.88291
22,322.26297,456.40442
23,316.95903,466.81718
24,314.12078,456.14276
25,311.77785,459.76851
26,306.92473,454.67539
27,301.55590,456.41442
28,297.42739,456.10849
29,294.84856,450.10312
30,292.99987,465.35879
31,290.57559,457.60879
32,286.89657,446.90674
33,283.58112,449.67980
34,283.32457,459.58960
35,283.53973,456.25625
36,279.63306,457.41582
37,277.16528,449.27590
38,275.48155,453.45805
39,271.35416,450.89488
40,272.73669,446.84104
41,271.35820,458.86343
42,268.06898,462.96238
43,267.12752,451.94720
44,266.01793,450.68279
45,264.76005,452.57514
46,262.44464,444.43932
47,260.86052,440.41823
48,260.72655,449.80763
49,260.54325,450.95656
50,258.00494,443.98940
51,258.33297,447.27418
52,255.65675,452.43913
53,255.80278,452.47948
54,253.97916,449.67263
55,254.58310,446.78535
56,252.38358,452.26446
57,249.74934,450.04067
58,252.03272,448.83886
59,248.93227,450.28548
60,247.64329,458.33286
61,246.51309,448.67016
62,246.29908,451.41408
63,246.29124,446.76171
64,244.97916,457.48409
65,243.33076,447.91143
66,244.40506,447.82826
67,243.68173,447.35590
68,242.10295,449.62607
69,241.36877,451.15556
70,241.40686,452.92532
71,240.91459,454.60670
72,238.90560,443.32494
73,237.57426,454.09892
74,237.56261,449.45662
75,238.62536,451.68441
76,236.98047,443.98082
77,236.42976,442.18551
78,236.23316,447.38625
79,235.25330,447.87103
80,234.06759,446.54193
81,234.35612,452.56058
82,234.49959,452.56969
83,234.47748,449.25433
84,233.15722,449.19825
85,231.53680,449.92408
86,231.65145,450.12612
87,231.45289,450.16629
88,232.03161,450.27531
89,231.16758,448.64517
90,229.38572,452.39562
91,229.33662,448.01741
92,229.42746,455.63835
93,228.10667,450.65385
94,228.62352,446.95320
95,228.13673,449.15007
96,227.34214,457.84398
97,227.27025,447.01460
98,224.17646,445.62956
99,226.00582,456.48772
100,225.93758,454.50443
